Invoice,Quantity,Price,Customer ID,InvoiceDate
489434,166,32.65,13085.0,2009-01-12 07:45:00
489435,60,10.5,13085.0,2009-01-12 07:46:00
489436,193,70.88,13078.0,2009-01-12 09:06:00
489437,145,83.45,15362.0,2009-01-12 09:08:00
489438,826,44.05,18102.0,2009-01-12 09:24:00
489439,216,49.64,12682.0,2009-01-12 09:28:00
489440,16,6.3,18087.0,2009-01-12 09:43:00
489441,102,12.17,18087.0,2009-01-12 09:44:00
489442,275,46.94,13635.0,2009-01-12 09:46:00
489443,120,16.59,14110.0,2009-01-12 09:50:00
489445,280,47.08,17519.0,2009-01-12 09:57:00
489446,382,84.2,13758.0,2009-01-12 10:06:00
489448,192,11.879999999999999,15413.0,2009-01-12 10:18:00
489450,100,20.2,16321.0,2009-01-12 10:36:00
489461,379,68.44,17865.0,2009-01-12 10:49:00
489462,38,51.55,17592.0,2009-01-12 10:49:00
489465,408,88.85,13767.0,2009-01-12 10:52:00
489488,80,107.1,17238.0,2009-01-12 10:59:00
489505,64,43.35,15712.0,2009-01-12 11:17:00
489514,326,93.39,15311.0,2009-01-12 11:21:00
489517,138,86.84,16329.0,2009-01-12 11:34:00
489519,247,146.14000000000001,17700.0,2009-01-12 11:37:00
489520,293,108.49,14911.0,2009-01-12 11:41:00
489522,409,271.84,15998.0,2009-01-12 11:45:00
489523,800,1.45,12931.0,2009-01-12 11:46:00
489525,2,1.4,,2009-01-12 11:49:00
489526,478,121.03,12533.0,2009-01-12 11:50:00
489529,212,119.1,17984.0,2009-01-12 11:51:00
489531,54,45.8,14871.0,2009-01-12 11:57:00
489532,353,46.97,13394.0,2009-01-12 11:58:00
489533,67,97.35,16011.0,2009-01-12 12:02:00
489536,216,241.14,16393.0,2009-01-12 12:13:00
489537,250,218.32,14040.0,2009-01-12 12:14:00
489540,188,15.190000000000001,12913.0,2009-01-12 12:18:00
489542,264,5.1,15061.0,2009-01-12 12:19:00
489544,226,34.82,14341.0,2009-01-12 12:20:00
489545,92,67.22,17804.0,2009-01-12 12:22:00
489546,212,149.3,14156.0,2009-01-12 12:30:00
489547,595,38.16,13599.0,2009-01-12 12:30:00
489548,253,135.43,,2009-01-12 12:32:00
489550,232,118.2,14156.0,2009-01-12 12:33:00
489552,129,63.29,17063.0,2009-01-12 12:36:00
489556,176,189.55,15719.0,2009-01-12 12:47:00
489557,438,42.66,12490.0,2009-01-12 12:52:00
489558,154,14.65,15793.0,2009-01-12 12:54:00
489559,26,33.0,17056.0,2009-01-12 12:55:00
489561,273,35.85,14654.0,2009-01-12 12:57:00
489562,107,190.45000000000002,17998.0,2009-01-12 13:07:00
489564,326,16.05,13526.0,2009-01-12 13:13:00
489566,35,69.15,17742.0,2009-01-12 13:16:00
489567,150,109.45,15326.0,2009-01-12 13:19:00
489569,312,54.15,14478.0,2009-01-12 13:20:00
489571,50,99.86,15967.0,2009-01-12 13:29:00
489572,273,237.89000000000001,17611.0,2009-01-12 13:29:00
489573,306,92.61,15051.0,2009-01-12 13:29:00
489574,313,189.03,13097.0,2009-01-12 13:31:00
489575,300,64.57000000000001,13590.0,2009-01-12 13:37:00
489576,178,58.69,15984.0,2009-01-12 13:38:00
489579,177,84.60000000000001,16887.0,2009-01-12 13:41:00
489580,276,6.5,12921.0,2009-01-12 13:43:00
489581,137,20.02,15945.0,2009-01-12 13:47:00
489582,125,58.65,14543.0,2009-01-12 13:47:00
489584,1,21.95,18037.0,2009-01-12 13:48:00
489585,67,10.18,15662.0,2009-01-12 13:49:00
489586,98,16.59,15380.0,2009-01-12 13:50:00
489590,87,141.44,13110.0,2009-01-12 14:14:00
489593,95,200.74,12836.0,2009-01-12 14:19:00
489594,181,119.93,15005.0,2009-01-12 14:19:00
489596,2,8.5,,2009-01-12 14:27:00
489598,575,105.08,16620.0,2009-01-12 14:35:00
489600,38,267.31,,2009-01-12 14:43:00
489601,35,210.15,,2009-01-12 14:44:00
489602,41,275.05,,2009-01-12 14:45:00
489603,28,180.82,,2009-01-12 14:46:00
489604,39,186.72,,2009-01-12 14:47:00
489606,1,2.1,17961.0,2009-01-12 14:48:00
489607,51,292.16,,2009-01-12 14:49:00
489608,5,1.95,,2009-01-12 14:49:00
489611,1,2.95,15601.0,2009-01-12 14:53:00
